epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2723,1.62784,2.7395,1.88556,0.29973,0.52626,0.34539,0.13139,2.05356,3.24022,2.8532,0.000541775,0.000541775,0.000541775
2,20.0795,1.63857,1.87832,1.79398,0.47219,0.59091,0.5488,0.1854,1.98325,10.4818,2.85384,0.00105398,0.00105398,0.00105398
3,30.0127,1.69355,1.8519,1.82949,0.27429,0.32172,0.25841,0.10329,1.93591,5.09781,2.72755,0.00152218,0.00152218,0.00152218
4,39.8561,1.70192,1.77201,1.81117,0.27273,0.49545,0.25177,0.07101,2.67687,12.683,3.39848,0.00146896,0.00146896,0.00146896
5,49.6861,1.67509,1.72444,1.82287,0.50224,0.53562,0.48173,0.1562,2.29535,2.34887,2.77139,0.00140295,0.00140295,0.00140295
6,59.5715,1.61384,1.71308,1.75295,0.4345,0.62646,0.52135,0.22858,1.78795,1.93505,2.18204,0.00133693,0.00133693,0.00133693
7,69.5697,1.59865,1.63023,1.74768,0.59669,0.4588,0.42198,0.17348,1.8367,2.34729,2.24672,0.00127092,0.00127092,0.00127092
8,79.4555,1.58758,1.52248,1.74106,0.71427,0.73941,0.7506,0.29687,1.96193,1.54506,2.29875,0.00120491,0.00120491,0.00120491
9,89.5823,1.57088,1.54588,1.71074,0.7796,0.73838,0.81665,0.36496,1.70719,1.43776,2.03752,0.00113889,0.00113889,0.00113889
10,99.5919,1.54558,1.51534,1.71378,0.78629,0.77486,0.83608,0.38649,1.71353,1.39691,2.04036,0.00107288,0.00107288,0.00107288
11,109.616,1.51939,1.47826,1.68606,0.70435,0.74715,0.77301,0.34585,1.78215,1.48404,2.12512,0.00100687,0.00100687,0.00100687
12,119.542,1.47658,1.44584,1.66022,0.74603,0.74416,0.80369,0.39406,1.60838,1.44406,1.99476,0.000940855,0.000940855,0.000940855
13,129.576,1.4995,1.41464,1.65908,0.8131,0.80774,0.85869,0.40516,1.67221,1.28878,2.02452,0.000874842,0.000874842,0.000874842
14,139.592,1.4463,1.41561,1.62791,0.82207,0.80202,0.87403,0.41956,1.74876,1.17723,2.0819,0.000808828,0.000808828,0.000808828
15,149.622,1.46617,1.33848,1.62698,0.83384,0.7899,0.85024,0.39084,1.76312,1.21498,2.06639,0.000742815,0.000742815,0.000742815
16,159.76,1.54763,1.30226,1.87872,0.71748,0.66958,0.75673,0.3115,1.87008,1.45825,2.20364,0.000676802,0.000676802,0.000676802
17,169.58,1.49421,1.22866,1.83371,0.8234,0.75316,0.84907,0.39837,1.74417,1.23502,2.08733,0.000610789,0.000610789,0.000610789
18,179.425,1.50273,1.14655,1.7952,0.78694,0.7423,0.81816,0.36161,1.82947,1.2562,2.15498,0.000544776,0.000544776,0.000544776
19,189.284,1.46354,1.1342,1.77836,0.81132,0.73982,0.84606,0.41079,1.68475,1.17871,1.99578,0.000478762,0.000478762,0.000478762
20,199.504,1.41648,1.12007,1.74769,0.83089,0.72723,0.84269,0.43309,1.56641,1.20178,1.90062,0.000412749,0.000412749,0.000412749
21,210.227,1.40789,1.0535,1.72958,0.83892,0.81726,0.88344,0.45064,1.60092,1.08943,1.95071,0.000346736,0.000346736,0.000346736
22,220.735,1.39959,1.00466,1.71738,0.84181,0.81061,0.88085,0.43814,1.61854,1.0938,1.96876,0.000280723,0.000280723,0.000280723
23,231.079,1.34694,1.0083,1.70815,0.84179,0.79293,0.88388,0.45206,1.61136,1.09966,1.93912,0.00021471,0.00021471,0.00021471
24,241.829,1.31276,0.97026,1.6713,0.80726,0.84025,0.88616,0.44973,1.64216,1.08413,1.97683,0.000148696,0.000148696,0.000148696
25,252.075,1.32515,0.94703,1.6861,0.84857,0.82949,0.88964,0.45382,1.63086,1.07699,1.96793,8.26832e-05,8.26832e-05,8.26832e-05
